vino,okus
102546,  cream and   vanilla
102548,cherry
102548,  strawberry
102548,  raspberry and   licorice
102564,apple
102564,  pear
102564,  peach
102564,  apricot
102564,  lemon
102564,  lime
102564,  orange
102564,  pineapple
102564,  kiwi
102564,  butter
102564,  cream and   vanilla
102565,apple
102565,  pear
102565,  peach
102565,  apricot and   honey
102577,ripe cherry
102577,  plum
102577,  strawberry
102577,  raspberry and   mushroom
102579,cherry
102579,  strawberry and   raspberry
102585,ripe cherry
102585,  plum
102585,  strawberry
102585,  raspberry and   mushroom
102586,ripe cherry
102586,  plum
102586,  strawberry
102586,  raspberry and   mushroom
102612,ripe cherry
102612,  plum
102612,  strawberry
102612,  raspberry and   mushroom
102628,ripe cherry
102628,  plum
102628,  strawberry
102628,  raspberry and   mushroom
102654,honeysuckle
102654,  quince
102654,  melon and   cantaloupe
102682,currant
102682,  blackberry
102682,  cherry
102682,  bell pepper
102682,  olive
102682,  asparagus
102682,  spice
102682,  ginger
102682,  oak and   vanilla
102687,currant
102687,  blackberry
102687,  cherry
102687,  bell pepper
102687,  olive
102687,  asparagus
102687,  spice
102687,  ginger
102687,  oak and   vanilla
102703,apple
102703,  pear
102703,  peach
102703,  apricot
102703,  lemon
102703,  lime
102703,  orange
102703,  pineapple
102703,  kiwi
102703,  butter
102703,  cream and   vanilla
102723,apple
102723,  pear
102723,  peach
102723,  apricot
102723,  lemon
102723,  lime
102723,  orange
102723,  pineapple
102723,  kiwi
102723,  butter
102723,  cream and   vanilla
102761,apple
102761,  pear
102761,  peach
102761,  apricot
102761,  lemon
102761,  lime
102761,  orange
102761,  pineapple
102761,  kiwi
102761,  butter
102761,  cream and   vanilla
102797,currant
102797,  black cherry
102797,  plum
102797,  bell pepper
102797,  olive
102797,  oak
102797,  smoke
102797,  toast
102797,  tar
102797,  blackberry
102797,  cherry
102797,  asparagus
102797,  spice
102797,  ginger
102797,  vanilla
102797,  lead
102797,  cedar
102797,  molasses and   dark fruit
102802,ripe cherry
102802,  plum
102802,  strawberry
102802,  raspberry and   mushroom
102815,sour cherry
102815,  black currant
102815,  herb
102815,  sage and   coffee
102830,apple
102830,  pear
102830,  peach
102830,  apricot
102830,  lemon
102830,  lime
102830,  orange
102830,  pineapple
102830,  kiwi
102830,  butter
102830,  cream and   vanilla
102832,currant
102832,  blackberry
102832,  cherry
102832,  bell pepper
102832,  olive
102832,  asparagus
102832,  spice
102832,  ginger
102832,  oak and   vanilla
102834,currant
102834,  blueberry
102834,  blackberry
102834,  strawberry
102834,  pepper
102834,  earth
102834,  green
102834,  plum and   mocha
102837,pepper
102837,  earth
102837,  green
102837,  plum
102837,  mocha and   currant
102838,blackberry
102838,  violet
102838,  oak
102838,  smoke
102838,  toast and   vanilla
102842,fresh peach
102842,  ripe melon and   citrus
102843,green apple
102843,  lime
102843,  citrus
102843,  pear
102843,  acid
102843,  fresh peach
102843,  ripe melon
102843,  almond and   herb
102844,pineapple
102844,  coriander
102844,  peach
102844,  orange and   pear
102849,currant
102849,  blackberry
102849,  cherry
102849,  bell pepper
102849,  olive
102849,  asparagus
102849,  spice
102849,  ginger
102849,  oak and   vanilla
102861,ripe cherry
102861,  plum
102861,  strawberry
102861,  raspberry and   mushroom
102864,cherry
102864,  strawberry and   raspberry
102866,currant
102866,  blackberry
102866,  cherry
102866,  bell pepper
102866,  olive
102866,  asparagus
102866,  spice
102866,  ginger
102866,  oak and   vanilla
102870,apple
102870,  pear
102870,  peach
102870,  apricot and   honey
102873,cocoa
102873,  honey
102873,  vanilla
102873,  butterscotch
102873,  dark fruit
102873,  spice
102873,  earth
102873,  perfume
102873,  floral
102873,  violet
102873,  ripe cherry
102873,  peppercorn
102873,  cinnamon
102873,  plum
102873,  red fruit
102873,  raisin
102873,  high acid
102873,  chocolate and   blackberry
102876,currant
102876,  blackberry
102876,  cherry
102876,  bell pepper
102876,  olive
102876,  asparagus
102876,  spice
102876,  ginger
102876,  oak
102876,  vanilla
102876,  black cherry
102876,  plum
102876,  smoke
102876,  toast
102876,  tar
102876,  tobacco
102876,  raspberry
102876,  cassis
102876,  violet
102876,  pepper and   green bean
102896,currant
102896,  blackberry
102896,  cherry
102896,  bell pepper
102896,  olive
102896,  asparagus
102896,  spice
102896,  ginger
102896,  oak
102896,  vanilla
102896,  black cherry
102896,  plum
102896,  smoke
102896,  toast
102896,  tar
102896,  tobacco
102896,  raspberry
102896,  cassis
102896,  violet
102896,  pepper and   green bean
102898,currant
102898,  blackberry
102898,  cherry
102898,  bell pepper
102898,  olive
102898,  asparagus
102898,  spice
102898,  ginger
102898,  oak and   vanilla
102928,apple
102928,  pear
102928,  peach
102928,  apricot
102928,  lemon
102928,  lime
102928,  orange
102928,  pineapple
102928,  kiwi
102928,  butter
102928,  cream and   vanilla
102932,ripe pear
102932,  apple
102932,  lemon custard and   spice
102934,berry
102934,  cherry
102934,  plum
102934,  earth
102934,  leather
102934,  herb
102934,  black currant
102934,  blackberry
102934,  dust and   leather
103007,apple
103007,  pear
103007,  peach
103007,  apricot and   honey
103010,apple
103010,  pear
103010,  peach
103010,  apricot
103010,  lemon
103010,  lime
103010,  orange
103010,  pineapple
103010,  kiwi
103010,  butter
103010,  cream and   vanilla
103018,currant
103018,  blackberry
103018,  cherry
103018,  bell pepper
103018,  olive
103018,  asparagus
103018,  spice
103018,  ginger
103018,  oak
103018,  vanilla
103018,  black cherry
103018,  plum
103018,  smoke
103018,  toast
103018,  tar
103018,  pepper
103018,  earth
103018,  green
103018,  mocha
103018,  blueberry
103018,  strawberry
103018,  lead
103018,  cedar
103018,  molasses and   dark fruit
103052,currant
103052,  black cherry
103052,  plum
103052,  bell pepper
103052,  olive
103052,  oak
103052,  smoke
103052,  toast and   tar
103089,tobacco
103089,  raspberry
103089,  cassis
103089,  violet
103089,  pepper
103089,  green bean
103089,  currant
103089,  black cherry
103089,  plum
103089,  bell pepper
103089,  olive
103089,  oak
103089,  smoke
103089,  toast and   tar
103090,apple
103090,  pear
103090,  peach
103090,  apricot
103090,  honey
103090,  spice
103090,  lemon
103090,  lychee and   mango
103091,apple
103091,  pear
103091,  peach
