vino,vonj
103610,  game and   tomato
103639,vanilla
103639,  toast
103639,  smoke
103639,  tobacco
103639,  dark fruit and   red fruit
103679,apple
103679,  pear
103679,  peach
103679,  apricot
103679,  lemon
103679,  lime
103679,  orange
103679,  pineapple
103679,  kiwi
103679,  butter
103679,  cream and   vanilla
103730,tobacco
103730,  berry and   flower
103734,apple
103734,  pear
103734,  peach
103734,  apricot
103734,  lemon
103734,  lime
103734,  orange
103734,  pineapple
103734,  kiwi
103734,  butter
103734,  cream and   vanilla
103755,petrol
103755,  flint
103755,  rose petal
103755,  violet
103755,  orange peel
103755,  apple
103755,  pear and   peach
103756,barnyard
103756,  cherry
103756,  plum
103756,  game
103756,  tomato
103756,  apple
103756,  pear
103756,  peach
103756,  apricot
103756,  lemon
103756,  lime
103756,  orange
103756,  pineapple
103756,  kiwi
103756,  butter
103756,  cream and   vanilla
103761,apple
103761,  pear
103761,  peach
103761,  apricot
103761,  lemon
103761,  lime
103761,  orange
103761,  pineapple
103761,  kiwi
103761,  butter
103761,  cream and   vanilla
103781,apple
103781,  pear
103781,  peach
103781,  apricot
103781,  lemon
103781,  lime
103781,  orange
103781,  pineapple
103781,  kiwi
103781,  butter
103781,  cream and   vanilla
103809,bitter almond and   pale lemon
103818,apple
103818,  pear
103818,  kiwi
103818,  citrus
103818,  stone
103818,  grapefruit and   melon
103819,truffle
103819,  cherry
103819,  plum
103819,  leather and   vanilla
103821,ripe cherry
103821,  peppercorn
103821,  cinnamon
103821,  plum
103821,  red fruit
103821,  cocoa
103821,  honey
103821,  vanilla
103821,  butterscotch
103821,  dark fruit
103821,  spice
103821,  earth
103821,  perfume
103821,  floral
103821,  violet
103821,  raisin
103821,  chocolate and   blackberry
103828,petrol
103828,  flint
103828,  rose petal
103828,  violet
103828,  orange peel
103828,  apple
103828,  pear and   peach
103835,violet
103835,  rose
103835,  truffle
103835,  earth
103835,  coffee
103835,  leather
103835,  currant
103835,  blackberry
103835,  cherry
103835,  cedar and   cigar box
103872,currant
103872,  blackberry
103872,  cherry
103872,  cedar
103872,  cigar box
103872,  spice box
103872,  dark fruit
103872,  dark stone fruit
103872,  black cherry
103872,  smoke
103872,  herb and   bitter almond
103873,currant
103873,  blackberry
103873,  cherry
103873,  cedar
103873,  cigar box
103873,  violet
103873,  rose
103873,  truffle
103873,  earth
103873,  coffee
103873,  leather
103873,  spice
103873,  boysenberry
103873,  blueberry and   jam
103874,violet
103874,  rose
103874,  truffle
103874,  earth
103874,  coffee and   leather
103936,vanilla
103936,  toast
103936,  smoke
103936,  tobacco
103936,  dark fruit and   red fruit
103938,vanilla
103938,  toast
103938,  smoke
103938,  tobacco
103938,  dark fruit and   red fruit
103948,orange blossom
103948,  acacia
103948,  violet
103948,  anise and   mint
103976,asparagus
103976,  green pepper
103976,  red fruit
103976,  currant
103976,  blackberry
103976,  cherry
103976,  cedar
103976,  cigar box
103976,  violet
103976,  rose
103976,  truffle
103976,  earth
103976,  coffee and   leather
103977,currant
103977,  blackberry
103977,  cherry
103977,  cedar
103977,  cigar box
103977,  violet
103977,  rose
103977,  truffle
103977,  earth
103977,  coffee
103977,  leather
103977,  spice
103977,  tobacco
103977,  broccoli
103977,  berry
103977,  flower
103977,  mocha and   vanilla
103982,currant
103982,  blackberry
103982,  cherry
103982,  cedar and   cigar box
103984,currant
103984,  blackberry
103984,  cherry
103984,  cedar
103984,  cigar box
103984,  violet
103984,  rose
103984,  truffle
103984,  earth
103984,  coffee
103984,  leather
103984,  tobacco
103984,  broccoli
103984,  berry
103984,  flower
103984,  mocha and   vanilla
104009,currant
104009,  blackberry
104009,  cherry
104009,  cedar and   cigar box
104035,lemon
104035,  elderflower
104035,  honeysuckle
104035,  peach
104035,  apple
104035,  pear
104035,  apricot
104035,  lemon
104035,  lime
104035,  orange
104035,  pineapple
104035,  kiwi
104035,  butter
104035,  cream
104035,  vanilla
104035,  floral
104035,  grass
104035,  almond
104035,  grapefruit and   citrus fruit
104076,spice box
104076,  cedar
104076,  dark fruit
104076,  thyme
104076,  clove
104076,  cinnamon
104076,  black pepper
104076,  mint
104076,  vanilla
104076,  toast
104076,  smoke
104076,  tobacco and   red fruit
104129,chocolate
104129,  mocha
104129,  fig
104129,  earth
104129,  raisin
104129,  cranberry and   plum
104155,barnyard
104155,  cherry
104155,  plum
104155,  game and   tomato
104168,floral
104168,  butter
104168,  cream
104168,  almond
104168,  citrus
104168,  grapey
104168,  coriander
104168,  peach and   orange
104171,currant
104171,  blackberry
104171,  cherry
104171,  cedar
104171,  cigar box
104171,  violet
104171,  rose
104171,  truffle
104171,  earth
104171,  coffee
104171,  leather
104171,  tobacco
104171,  broccoli
104171,  berry
104171,  flower
104171,  spice
104171,  mocha
104171,  vanilla
104171,  spice box and   dark fruit
104202,truffle
104202,  cherry
104202,  plum
104202,  leather and   vanilla
104204,petrol
104204,  flint
104204,  rose petal
104204,  violet
104204,  orange peel
104204,  apple
104204,  pear and   peach
104210,barnyard
104210,  cherry
104210,  plum
104210,  game and   tomato
104269,grapey
104269,  coriander
104269,  peach
104269,  orange
104269,  barnyard
104269,  cherry
104269,  plum
104269,  game and   tomato
104270,grapey
104270,  coriander
104270,  peach and   orange
104271,apple
104271,  honey
104271,  peach
104271,  apricot
104271,  grapey
