vino,okus
103982,currant
103982,  blackberry
103982,  cherry
103982,  bell pepper
103982,  olive
103982,  asparagus
103982,  spice
103982,  ginger
103982,  oak and   vanilla
103984,currant
103984,  blackberry
103984,  cherry
103984,  bell pepper
103984,  olive
103984,  asparagus
103984,  spice
103984,  ginger
103984,  oak
103984,  vanilla
103984,  black cherry
103984,  plum
103984,  smoke
103984,  toast
103984,  tar
103984,  tobacco
103984,  raspberry
103984,  cassis
103984,  violet
103984,  pepper
103984,  green bean
103984,  lead
103984,  cedar
103984,  molasses and   dark fruit
104009,currant
104009,  blackberry
104009,  cherry
104009,  bell pepper
104009,  olive
104009,  asparagus
104009,  spice
104009,  ginger
104009,  oak and   vanilla
104035,blueberry flesh
104035,  white peach
104035,  lemon zest
104035,  melon
104035,  apple
104035,  pear
104035,  peach
104035,  apricot
104035,  lemon
104035,  lime
104035,  orange
104035,  pineapple
104035,  kiwi
104035,  butter
104035,  cream
104035,  vanilla
104035,  citrus
104035,  grapefruit and   citrus fruit
104076,currant
104076,  blueberry
104076,  blackberry
104076,  strawberry
104076,  blackberry
104076,  violet
104076,  oak
104076,  smoke
104076,  toast
104076,  vanilla
104076,  black currant
104076,  dust and   leather
104129,chocolate
104129,  mocha
104129,  fig
104129,  earth
104129,  raisin
104129,  cranberry and   plum
104155,ripe cherry
104155,  plum
104155,  strawberry
104155,  raspberry and   mushroom
104168,lemon
104168,  apple
104168,  pear
104168,  pineapple
104168,  coriander
104168,  peach
104168,  orange and   grapey
104171,currant
104171,  blackberry
104171,  cherry
104171,  bell pepper
104171,  olive
104171,  asparagus
104171,  spice
104171,  ginger
104171,  oak
104171,  vanilla
104171,  black cherry
104171,  plum
